pack_id,title,category_id,category_name,level,primary_skill,original_price,current_sale_price,current_discount_pct,sale_price,discount_pct,is_current_price,market_demand_score,market_avg_roi,market_course_count,expected_conversion_rate,simulated_conversion_rate,expected_buyers,scenario_support,expected_revenue,discount_gap_vs_current_pct,scenario_rank,revenue_index,price_action_hint,scenario_id
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,112.49,25.0,0,0.24690900000000002,83.6462,26,0.5560794764705883,0.35294117647058826,189.067022,340,21268.15,-8.3356,1,1.415355,increase,1
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,116.24,22.5,0,0.24690900000000002,83.6462,26,0.5370093794117647,0.2676470588235294,182.583189,340,21223.47,-10.8356,2,1.412382,increase,2
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,108.74,27.5,0,0.24690900000000002,83.6462,26,0.5664230529411766,0.3764705882352941,192.58383800000001,340,20941.57,-5.8356,3,1.393622,increase,3
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,104.99,30.0,0,0.24690900000000002,83.6462,26,0.5504706294117647,0.35,187.160014,340,19649.93,-3.3356,4,1.307666,increase,4
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,119.99,20.0,0,0.24690900000000002,83.6462,26,0.47918215294117644,0.23823529411764705,162.921932,340,19549.0,-13.3356,5,1.300949,increase,5
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,123.74,17.5,0,0.24690900000000002,83.6462,26,0.4211594941176471,0.21470588235294116,143.194228,340,17718.85,-15.8356,6,1.179156,increase,6
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,101.24,32.5,0,0.24690900000000002,83.6462,26,0.4991265764705882,0.2823529411764706,169.703036,340,17180.74,-0.8356,7,1.143346,hold,7
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,99.99,33.3356,1,0.24690900000000002,83.6462,26,0.44200641764705884,0.21470588235294116,150.282182,340,15026.72,0.0,8,1.0,hold,8
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,127.49,15.0,0,0.24690900000000002,83.6462,26,0.3354946352941176,0.15588235294117647,114.068176,340,14542.55,-18.3356,9,0.967779,increase,9
1,Frontend Web Development Bootcamp,1,Web Development,BEGINNER,react,149.99,99.99,33.3356,131.24,12.5,0,0.24690900000000002,83.6462,26,0.2882715470588235,0.12352941176470589,98.012326,340,12863.14,-20.8356,10,0.856018,increase,10
